strike,moneyness,expiry,days_to_expiry,time_to_expiry,option_type,mid_price,spot,volume,openInterest,implied_vol
305.0,1.1289396863150245,2026-05-06,7,0.0191780821917808,call,0.135,270.1650085449219,2.0,249,0.4291967428672808
315.0,1.1659541022597792,2026-05-06,7,0.0191780821917808,call,0.05,270.1650085449219,3.0,10,0.4588742557610168
325.0,1.2029685182045342,2026-05-06,7,0.0191780821917808,call,0.03,270.1650085449219,21.0,7,0.5096396661362825
205.0,0.7587955268674754,2026-05-06,7,0.0191780821917808,put,0.03,270.1650085449219,7.0,1,0.752885439834854
210.0,0.7773027348398529,2026-05-06,7,0.0191780821917808,put,0.06,270.1650085449219,2.0,7,0.7490356875712818
215.0,0.7958099428122304,2026-05-06,7,0.0191780821917808,put,0.08,270.1650085449219,1.0,4,0.7112010701854764
220.0,0.8143171507846078,2026-05-06,7,0.0191780821917808,put,0.08,270.1650085449219,1.0,2,0.6476380946292589
225.0,0.8328243587569852,2026-05-06,7,0.0191780821917808,put,0.09,270.1650085449219,1.0,9,0.5942233284395267
230.0,0.8513315667293627,2026-05-06,7,0.0191780821917808,put,0.145,270.1650085449219,1.0,17,0.5695029091408944
235.0,0.8698387747017401,2026-05-06,7,0.0191780821917808,put,0.205,270.1650085449219,1.0,2,0.5330368810503203
240.0,0.8883459826741176,2026-05-06,7,0.0191780821917808,put,0.3249999999999999,270.1650085449219,4.0,28,0.5061436049769141
245.0,0.906853190646495,2026-05-06,7,0.0191780821917808,put,0.4449999999999999,270.1650085449219,45.0,69,0.4636079142691107
247.5,0.9161067946326836,2026-05-06,7,0.0191780821917808,put,0.675,270.1650085449219,2.0,18,0.4702115470055538
250.0,0.9253603986188724,2026-05-06,7,0.0191780821917808,put,0.875,270.1650085449219,154.0,82,0.4607229119164798
252.5,0.9346140026050612,2026-05-06,7,0.0191780821917808,put,1.085,270.1650085449219,114.0,33,0.4457424291480323
255.0,0.94386760659125,2026-05-06,7,0.0191780821917808,put,1.375,270.1650085449219,8.0,88,0.4339210772958778
257.5,0.9531212105774388,2026-05-06,7,0.0191780821917808,put,1.845,270.1650085449219,30.0,483,0.4325362975445985
260.0,0.9623748145636274,2026-05-06,7,0.0191780821917808,put,2.365,270.1650085449219,76.0,156,0.4256607755767077
265.0,0.9808820225360048,2026-05-06,7,0.0191780821917808,put,3.725,270.1650085449219,41.0,87,0.4089956795490808
267.5,0.9901356265221936,2026-05-06,7,0.0191780821917808,put,4.7,270.1650085449219,15.0,60,0.4067475109118652
270.0,0.9993892305083822,2026-05-06,7,0.0191780821917808,put,5.925,270.1650085449219,47.0,294,0.4105094699149126
275.0,1.0178964384807598,2026-05-06,7,0.0191780821917808,put,8.475,270.1650085449219,18.0,29,0.3915377087946468
280.0,1.0364036464531372,2026-05-06,7,0.0191780821917808,put,12.325,270.1650085449219,23.0,40,0.4227317612641189
190.0,0.7032739029503431,2026-05-08,9,0.0246575342465753,call,80.6,270.1650085449219,4.0,6,1.0567658366668975
195.0,0.7217811109227206,2026-05-08,9,0.0246575342465753,call,75.625,270.1650085449219,2.0,4,1.00024632092277
200.0,0.7402883188950979,2026-05-08,9,0.0246575342465753,call,70.65,270.1650085449219,3.0,16,0.943178639154756
205.0,0.7587955268674754,2026-05-08,9,0.0246575342465753,call,65.65,270.1650085449219,56.0,23,0.872903421610771
210.0,0.7773027348398529,2026-05-08,9,0.0246575342465753,call,60.675,270.1650085449219,30.0,43,0.8162417462749114
215.0,0.7958099428122304,2026-05-08,9,0.0246575342465753,call,55.7,270.1650085449219,10.0,26,0.7590617135279473
220.0,0.8143171507846078,2026-05-08,9,0.0246575342465753,call,50.75,270.1650085449219,1.0,104,0.7106741365205648
225.0,0.8328243587569852,2026-05-08,9,0.0246575342465753,call,45.675,270.1650085449219,8.0,1462,0.6156202363887013
230.0,0.8513315667293627,2026-05-08,9,0.0246575342465753,call,40.85,270.1650085449219,1.0,34,0.6059966415028013
235.0,0.8698387747017401,2026-05-08,9,0.0246575342465753,call,36.05,270.1650085449219,4.0,44,0.5833777567347421
237.5,0.8790923786879289,2026-05-08,9,0.0246575342465753,call,33.2,270.1650085449219,15.0,7,0.4632395961576222
240.0,0.8883459826741176,2026-05-08,9,0.0246575342465753,call,30.8,270.1650085449219,1.0,500,0.458429870357498
245.0,0.906853190646495,2026-05-08,9,0.0246575342465753,call,26.05,270.1650085449219,1.0,86,0.4409661936568154
247.5,0.9161067946326836,2026-05-08,9,0.0246575342465753,call,23.85,270.1650085449219,3.0,5,0.4497376394028137
250.0,0.9253603986188724,2026-05-08,9,0.0246575342465753,call,21.375,270.1650085449219,47.0,1186,0.4147174844946024
252.5,0.9346140026050612,2026-05-08,9,0.0246575342465753,call,19.05,270.1650085449219,1.0,6,0.3963527580395402
255.0,0.94386760659125,2026-05-08,9,0.0246575342465753,call,17.075000000000003,270.1650085449219,56.0,537,0.4078004297936529
257.5,0.9531212105774388,2026-05-08,9,0.0246575342465753,call,15.1,270.1650085449219,18.0,57,0.4078528759153428
260.0,0.9623748145636274,2026-05-08,9,0.0246575342465753,call,13.075,270.1650085449219,189.0,1319,0.3957857291293125
262.5,0.971628418549816,2026-05-08,9,0.0246575342465753,call,11.2,270.1650085449219,16.0,48,0.3873205683588245
265.0,0.9808820225360048,2026-05-08,9,0.0246575342465753,call,9.5,270.1650085449219,307.0,1287,0.382307209532557
267.5,0.9901356265221936,2026-05-08,9,0.0246575342465753,call,7.975,270.1650085449219,378.0,703,0.3794142902972722
270.0,0.9993892305083822,2026-05-08,9,0.0246575342465753,call,6.65,270.1650085449219,1503.0,2592,0.3794266492081791
272.5,1.008642834494571,2026-05-08,9,0.0246575342465753,call,5.4,270.1650085449219,946.0,1152,0.3747182705040126
275.0,1.0178964384807598,2026-05-08,9,0.0246575342465753,call,4.35,270.1650085449219,1658.0,5886,0.37272329379006
277.5,1.0271500424669484,2026-05-08,9,0.0246575342465753,call,3.475,270.1650085449219,406.0,880,0.3723583181871325
280.0,1.0364036464531372,2026-05-08,9,0.0246575342465753,call,2.745,270.1650085449219,2443.0,5562,0.3724729153708577
282.5,1.045657250439326,2026-05-08,9,0.0246575342465753,call,2.12,270.1650085449219,392.0,742,0.371062936983745
285.0,1.0549108544255146,2026-05-08,9,0.0246575342465753,call,1.625,270.1650085449219,1642.0,2339,0.3708696685870679
287.5,1.0641644584117034,2026-05-08,9,0.0246575342465753,call,1.255,270.1650085449219,85.0,230,0.3733359668198969
290.0,1.0734180623978922,2026-05-08,9,0.0246575342465753,call,0.94,270.1650085449219,553.0,5306,0.3733783483418902
292.5,1.0826716663840807,2026-05-08,9,0.0246575342465753,call,0.71,270.1650085449219,68.0,335,0.3755369209901043
295.0,1.0919252703702695,2026-05-08,9,0.0246575342465753,call,0.54,270.1650085449219,101.0,1360,0.3790419741539433
297.5,1.1011788743564583,2026-05-08,9,0.0246575342465753,call,0.41,270.1650085449219,41.0,156,0.3828045992770889
300.0,1.110432478342647,2026-05-08,9,0.0246575342465753,call,0.31,270.1650085449219,1108.0,4367,0.3865370917871438
302.5,1.1196860823288357,2026-05-08,9,0.0246575342465753,call,0.25,270.1650085449219,74.0,9,0.3950256335733654
305.0,1.1289396863150245,2026-05-08,9,0.0246575342465753,call,0.185,270.1650085449219,651.0,2307,0.3973998447974849
310.0,1.147446894287402,2026-05-08,9,0.0246575342465753,call,0.105,270.1650085449219,24.0,563,0.4050722226878434
315.0,1.1659541022597792,2026-05-08,9,0.0246575342465753,call,0.08,270.1650085449219,3.0,117,0.4289146112258489
320.0,1.1844613102321568,2026-05-08,9,0.0246575342465753,call,0.05,270.1650085449219,35.0,618,0.4402221468964851
325.0,1.2029685182045342,2026-05-08,9,0.0246575342465753,call,0.04,270.1650085449219,1.0,46,0.4633646336908335
330.0,1.2214757261769118,2026-05-08,9,0.0246575342465753,call,0.02,270.1650085449219,1337.0,276,0.4621062939486011
335.0,1.2399829341492892,2026-05-08,9,0.0246575342465753,call,0.02,270.1650085449219,11.0,14,0.493109694768403
195.0,0.7217811109227206,2026-05-08,9,0.0246575342465753,put,0.025,270.1650085449219,1.0,96,0.7590935654015446
200.0,0.7402883188950979,2026-05-08,9,0.0246575342465753,put,0.035,270.1650085449219,65.0,1122,0.7299417770929066
205.0,0.7587955268674754,2026-05-08,9,0.0246575342465753,put,0.05,270.1650085449219,1.0,451,0.7025110542440725
210.0,0.7773027348398529,2026-05-08,9,0.0246575342465753,put,0.055,270.1650085449219,20.0,302,0.654418425656767
215.0,0.7958099428122304,2026-05-08,9,0.0246575342465753,put,0.07,270.1650085449219,2.0,244,0.6173860975250632
220.0,0.8143171507846078,2026-05-08,9,0.0246575342465753,put,0.11,270.1650085449219,85.0,1055,0.5965530403293894
225.0,0.8328243587569852,2026-05-08,9,0.0246575342465753,put,0.14,270.1650085449219,25.0,393,0.5583612710029691
230.0,0.8513315667293627,2026-05-08,9,0.0246575342465753,put,0.19,270.1650085449219,16.0,2607,0.5246099717760169
232.5,0.8605851707155514,2026-05-08,9,0.0246575342465753,put,0.23,270.1650085449219,4.0,24,0.510674751018735
235.0,0.8698387747017401,2026-05-08,9,0.0246575342465753,put,0.27,270.1650085449219,12.0,568,0.4938609724513788
237.5,0.8790923786879289,2026-05-08,9,0.0246575342465753,put,0.32,270.1650085449219,35.0,38,0.4775959924724999
240.0,0.8883459826741176,2026-05-08,9,0.0246575342465753,put,0.4,270.1650085449219,1920.0,954,0.4660158762264285
242.5,0.8975995866603064,2026-05-08,9,0.0246575342465753,put,0.52,270.1650085449219,26.0,179,0.4584499024541857
245.0,0.906853190646495,2026-05-08,9,0.0246575342465753,put,0.625,270.1650085449219,141.0,2600,0.4429729899079281
247.5,0.9161067946326836,2026-05-08,9,0.0246575342465753,put,0.8049999999999999,270.1650085449219,37.0,166,0.4349900413226427
250.0,0.9253603986188724,2026-05-08,9,0.0246575342465753,put,1.01,270.1650085449219,450.0,1414,0.4244102622074244
252.5,0.9346140026050612,2026-05-08,9,0.0246575342465753,put,1.27,270.1650085449219,80.0,859,0.4144410187486821
255.0,0.94386760659125,2026-05-08,9,0.0246575342465753,put,1.63,270.1650085449219,153.0,1428,0.4080602215096442
257.5,0.9531212105774388,2026-05-08,9,0.0246575342465753,put,2.065,270.1650085449219,1151.0,864,0.40095334816035
260.0,0.9623748145636274,2026-05-08,9,0.0246575342465753,put,2.625,270.1650085449219,1013.0,1433,0.3960321740893109
262.5,0.971628418549816,2026-05-08,9,0.0246575342465753,put,3.275,270.1650085449219,25.0,216,0.3894258212792284
265.0,0.9808820225360048,2026-05-08,9,0.0246575342465753,put,4.125,270.1650085449219,345.0,1226,0.3876108235680328
267.5,0.9901356265221936,2026-05-08,9,0.0246575342465753,put,5.1,270.1650085449219,135.0,624,0.384652957903799
270.0,0.9993892305083822,2026-05-08,9,0.0246575342465753,put,6.25,270.1650085449219,606.0,456,0.3832402161817486
272.5,1.008642834494571,2026-05-08,9,0.0246575342465753,put,7.475,270.1650085449219,214.0,207,0.377223806259684
275.0,1.0178964384807598,2026-05-08,9,0.0246575342465753,put,8.975,270.1650085449219,7.0,325,0.3785167722674765
277.5,1.0271500424669484,2026-05-08,9,0.0246575342465753,put,10.625,270.1650085449219,2.0,30,0.3802312626620218
280.0,1.0364036464531372,2026-05-08,9,0.0246575342465753,put,12.15,270.1650085449219,3.0,76,0.3641671726375893
